"HRV_MeanNN","HRV_SDNN","HRV_SDANN1","HRV_SDNNI1","HRV_SDANN2","HRV_SDNNI2","HRV_SDANN5","HRV_SDNNI5","HRV_RMSSD","HRV_SDSD","HRV_CVNN","HRV_CVSD","HRV_MedianNN","HRV_MadNN","HRV_MCVNN","HRV_IQRNN","HRV_pNN50","HRV_pNN20","HRV_HTI","HRV_TINN","HRV_ULF","HRV_VLF","HRV_LF","HRV_HF","HRV_VHF","HRV_LFHF","HRV_LFn","HRV_HFn","HRV_LnHF","HRV_SD1","HRV_SD2","HRV_SD1SD2","HRV_S","HRV_CSI","HRV_CVI","HRV_CSI_Modified","HRV_PIP","HRV_IALS","HRV_PSS","HRV_PAS","HRV_GI","HRV_SI","HRV_AI","HRV_PI","HRV_C1d","HRV_C1a","HRV_SD1d","HRV_SD1a","HRV_C2d","HRV_C2a","HRV_SD2d","HRV_SD2a","HRV_Cd","HRV_Ca","HRV_SDNNd","HRV_SDNNa","HRV_DFA_alpha1","HRV_DFA_alpha1_ExpRange","HRV_DFA_alpha1_ExpMean","HRV_DFA_alpha1_DimRange","HRV_DFA_alpha1_DimMean","HRV_DFA_alpha2","HRV_DFA_alpha2_ExpRange","HRV_DFA_alpha2_ExpMean","HRV_DFA_alpha2_DimRange","HRV_DFA_alpha2_DimMean","HRV_ApEn","HRV_SampEn","HRV_ShanEn","HRV_FuzzyEn","HRV_MSE","HRV_CMSE","HRV_RCMSE","HRV_CD","HRV_HFD","HRV_KFD","HRV_LZC","Participant","Database","Recording_Length"
683.862857142857,30.414446485317,NA,NA,NA,NA,NA,NA,23.1715243397987,23.2191650568765,0.044474482226432,0.0338832912151541,680,23.7216,0.0348847058823529,32,2.28571428571429,32.5714285714286,8.33333333333333,117.1875,NA,NA,0.053989500659083,0.0279060101106918,0.0103418976111252,1.93469078685662,0.585331934263916,0.302545470439198,-3.57891319719972,16.4184290652071,37.875888785597,0.433479704150217,1953.63895467871,2.30691308134109,3.99781441628482,349.505533227656,0.594285714285714,0.576687116564417,0.904255319148936,0.0566037735849057,47.3751600512164,47.6276419874588,47.0906714944288,46.6257668711656,0.47645144716561,0.52354855283439,11.3422836696994,11.8896661790696,0.346921317047087,0.653078682952913,22.3089086886364,30.6087494749622,0.367439177655045,0.632560822344955,17.6965364651088,23.2191699493189,1.13524463204468,1.62161722727828,1.30195720123521,1.92549418818912,0.0772760301576013,0.556854082883485,1.09990921889575,0.42939568123189,2.72663542423784,0.543429737947754,0.960262169596685,1.65388967500493,4.57339418996937,1.16310233951895,0,1.43134053276635,1.55190178995881,1.29380875942022,1.84626464652105,2.04413591160245,0.894145333419879,"GUDB_00","GUDB (hand_bike)",1.99673333333333
610.687179487179,36.6842137140505,NA,NA,NA,NA,NA,NA,38.5831542750775,38.681191848913,0.0600703845540951,0.0631798989254654,608,35.5824,0.0585236842105263,44,4.1025641025641,25.6410256410256,9.28571428571429,210.9375,NA,NA,0.0514044133276192,0.0158836183616795,0.000735327472946742,3.23631632019292,0.755687663189528,0.233502410896745,-4.14246699258957,27.3517330607442,44.0347649053717,0.621139527360293,3783.8194393652,1.6099442330611,4.28490051402392,283.574063254418,0.471794871794872,0.442528735632184,0.61038961038961,0.0930232558139535,49.0196078431373,48.8435883859718,49.2107860576872,60.3448275862069,0.634016620498615,0.365983379501385,21.7798690147695,16.5476232189669,0.399878332338085,0.600121667661915,27.8457947839297,34.1126403716075,0.465067393793159,0.534932606206841,24.9975096904596,26.8094765644493,1.17058869289167,23.7500403436716,11.7291796967533,9.51710528729924,0.597821679646741,0.606411049390483,2.05122412448431,1.21096072493843,3.36046889420723,-0.17326799273242,0.912761667379692,1.55358583450821,4.90809369548687,0.930731507537854,0,1.49808414627609,1.38534009040442,1.00723434622695,1.85911157854101,2.1637070535268,0.663203155557658,"GUDB_01","GUDB (hand_bike)",1.99366666666667
721.66265060241,43.7273306417501,NA,NA,NA,NA,NA,NA,26.1037556800944,26.1693840064241,0.0605924812725844,0.0361716872257477,716,41.5128,0.0579787709497207,52,6.62650602409639,36.144578313253,10.375,171.875,NA,NA,0.0422940799259759,0.0030063854992282,0.00492530461848611,14.0680827315172,0.842079273034247,0.0598574296942191,-5.8070167526176,18.5045488904172,58.6916479098012,0.315284193738358,3411.96587145579,3.17174162187738,4.23997478840319,744.618970128355,0.608433734939759,0.588235294117647,0.866666666666667,0.119047619047619,47.8580171358629,47.8242970530172,47.8928230358237,53.5947712418301,0.509890422655472,0.490109577344528,13.220457170797,12.9614813968157,0.432463677067697,0.567536322932303,38.5967842140115,44.2153568650656,0.439471055956182,0.560528944043818,28.8486762215171,32.5806521014014,1.56822891002566,1.29039090306015,1.89238929162626,2.15255850389917,0.194980728340542,1.08011535726097,1.30937932556774,1.33045263470297,3.09659734827496,1.84686034086307,0.886119096022112,1.2443240998495,5.17018781099574,0.962601656323205,0,1.07640292440641,1.77964160565005,1.29112880551812,1.82486227751163,2.33735627971448,0.799703070868944,"GUDB_03","GUDB (hand_bike)",1.9982
627.494736842105,47.1682508420285,NA,NA,NA,NA,NA,NA,17.4404504577523,17.4532520782051,0.0751691577197998,0.0277937796666186,616,23.7216,0.0385090909090909,36,2.10526315789474,15.2631578947368,7.03703703703704,109.375,NA,NA,0.00838007692517233,0.00171608965628613,0.000774021268190032,4.88323957578537,0.77092291698007,0.15787120517348,-6.36770703202822,12.341312898257,64.0110172887957,0.192799824482983,2481.79534342404,5.18672671347925,4.10173607532505,1328.03061331512,0.636842105263158,0.611464968152866,0.885416666666667,0.156862745098039,45.5497382198953,46.0266141236169,45.0376232816279,49.6815286624204,0.402727525744503,0.597272474255497,7.84694004597374,9.55610532257625,0.429039312622093,0.570960687377907,41.9279156813058,48.3679668889216,0.42809281460406,0.57190718539594,30.1622660079095,34.8624394578462,1.45165045248533,34.7200554171397,18.5026259041348,14.452383718638,1.45169567223323,1.07345766290886,0.841893670242654,0.819184201729236,2.61015463023292,0.735136403027385,0.769263942930996,0.87891005144059,4.87356854926831,0.624577541467355,0,1.13536514566255,1.45910188877466,0.78913825787401,1.65021354828554,1.66968834142087,0.71714421552609,"GUDB_04","GUDB (hand_bike)",1.99233333333333
641.612903225806,57.3375085494727,NA,NA,NA,NA,NA,NA,22.4990089871844,22.5600543373432,0.0893646437925416,0.0350663287381959,638,68.1996,0.10689592476489,96,4.3010752688172,26.8817204301075,12.4,78.125,NA,NA,0.0475984394556894,0.00986435467066666,0.000166065636738279,4.82529684351592,0.825947965157755,0.171170394681031,-4.61882755769729,15.9523674058724,79.6151199995952,0.200368565744214,3989.97863535673,4.99080280524929,4.30794068019202,1589.37345693696,0.462365591397849,0.418181818181818,0.623188405797101,0.127659574468085,50.0682128240109,50.0539900282101,50.0813091453053,57.5757575757576,0.585853408508457,0.414146591491543,12.2101169741219,10.2660267069508,0.449249675984568,0.550750324015431,53.3629020983158,59.0844142917192,0.454522304512372,0.545477695487628,38.7084375613132,42.4049485116026,1.51123642618911,20.9765578893963,11.4210714148921,8.76297492818478,0.639652909370364,1.12003468209717,2.03166089369593,1.29250751793202,2.85299676366581,-0.256522855861218,0.804178446920371,1.06432321518948,5.54056407043749,0.70726431170306,0,1.20028545508547,1.81967002016956,1.21900460953636,1.78173851823814,2.39624347046876,0.526930454539809,"GUDB_05","GUDB (hand_bike)",1.99966666666667
622.743455497382,51.2900128433439,NA,NA,NA,NA,NA,NA,15.8996855314814,15.9170223730849,0.0823613839544548,0.0255316782394484,608,35.5824,0.0585236842105263,56,2.09424083769634,6.80628272251309,7.95833333333333,54.6875,NA,NA,0.0105527686111448,0.00114890833233233,0.000171553421877237,9.18503967128713,0.888786647476947,0.0967645953947631,-6.76894306368776,11.2550344563063,70.7821379686734,0.159009529512764,2502.76675751272,6.28893125502724,4.105390487878,1780.57599907536,0.507853403141361,0.445859872611465,0.742857142857143,0.159090909090909,45.353982300885,45.6667347886417,45.0577874374257,59.2356687898089,0.524650233177882,0.475349766822119,8.16496580927726,7.7718798499537,0.432057023819014,0.567942976180986,46.5258387523096,53.3428287946037,0.434347328383694,0.565652671616306,33.401499504308,38.117315620414,1.53560884399331,20.6530008250338,11.0633872921781,7.82138415894775,0.906581003963705,1.36146993461914,0.26892685941791,1.49728765127278,0.377274128320921,0.999565032163561,0.558117143564755,0.547898108380982,5.07945446563418,0.464385902138252,0,1.04541975951206,1.15257004995336,0.851667617328042,1.67345646900971,1.64288586480502,0.515741229133323,"GUDB_06","GUDB (hand_bike)",1.99273333333333
778.535947712418,52.8727402333823,NA,NA,NA,NA,NA,NA,24.6063748693408,24.6876620051512,0.0679130364997774,0.0316059585195032,788,41.5128,0.0526812182741117,52,5.22875816993464,36.6013071895425,9,250,NA,NA,0.0231671902366835,0.00615932710044387,0.000351469127055787,3.7613183808689,0.78061866712699,0.20753857772249,-5.08978774434443,17.4568132154839,72.8025064778661,0.239783134675332,3992.64934067851,4.17043509483688,4.30823127938587,1214.47251202953,0.529411764705882,0.503597122302158,0.8,0.0666666666666667,50.1362397820163,50.13143752716,50.1408445865618,42.4460431654676,0.438108484005563,0.561891515994437,11.554649876774,13.0855564680861,0.514706786533239,0.485293213466761,52.2307520288957,50.7164025928077,0.510542126283594,0.489457873716406,37.8256618665082,37.0363691527343,1.35798339790759,21.2715375675138,11.7854486501207,8.93047385732789,1.14164577075865,1.24671293888442,1.28141995139687,1.07718487301152,1.56714108911496,1.75906039766115,0.921991690206751,1.40179854765586,5.18083365827593,0.896993469152367,0,0.97670265292131,1.82229166774941,1.19370813577743,1.63496595455479,2.06514196621803,0.758942519497271,"GUDB_07","GUDB (hand_bike)",1.98893333333333
680.274285714286,64.3790335991406,NA,NA,NA,NA,NA,NA,25.1688550468196,25.2118997903201,0.0946368765527317,0.0369980985249095,672,71.1648,0.1059,94,4.57142857142857,33.7142857142857,13.4615384615385,62.5,NA,NA,0.0107095525902574,0.00303055091890024,0.000317678867812044,3.5338632733298,0.761823757337604,0.215578164296032,-5.79901085456915,17.827505308331,87.339097767289,0.204118267351829,4891.5798618085,4.89912055875111,4.39641925833955,1711.53907781799,0.417142857142857,0.39375,0.650793650793651,0.0975609756097561,46.8263473053892,47.3336434903998,46.2356229689802,50,0.423138336478444,0.576861663521556,11.6102406461396,13.5561346307555,0.474893094555805,0.525106905444195,60.1875449083022,63.2896313523405,0.472818351202237,0.527181648797763,43.3436168884772,45.7675989256719,1.55894902824451,21.3999648454611,11.8750258109645,8.67889339303642,1.08886654385974,0.909998544414981,0.561100566284362,0.618449128917394,2.10454546279218,1.07027334783517,0.828244440583581,0.912725665709659,5.52726541900692,0.755045765273052,0,1.226305518368,1.63499465579942,1.16992506894721,1.80384352734897,1.76664249004446,0.510940190525645,"GUDB_08","GUDB (hand_bike)",1.9882
609.591836734694,18.3570495001973,NA,NA,NA,NA,NA,NA,15.8686919629623,15.9056961818175,0.0301136734352082,0.0260316674317092,608,17.7912,0.0292618421052632,20,2.55102040816327,12.2448979591837,5.02564102564103,39.0625,NA,NA,0.0380455233726347,0.0135974154253899,0.00424995111105913,2.79799669145902,0.680686281108745,0.243276299499054,-4.29787554655119,11.2470256296561,23.2112253736538,0.484551136297277,820.135528314933,2.06376566907169,3.62085573592572,191.61012025293,0.581632653061224,0.544378698224852,0.75,0.153846153846154,48.3870967741935,48.3829771740395,48.3909552816322,46.1538461538462,0.398501140436624,0.601498859563376,7.10161880775937,8.7248903339931,0.511963420636771,0.488036579363229,16.608007584889,16.2152726590341,0.490380630624188,0.509619369375813,12.7722140921309,13.0203452094602,1.05788043505046,0.750704496586059,1.38001802723573,1.46482365450134,0.77237158883321,1.13462732212259,0.282609674627032,1.28967153965201,0.460976501418429,1.0116257640707,0.592039046997678,1.7227665977411,3.96677678245122,1.08494369548015,0,1.5693293844794,1.79211271981603,1.35155823589003,1.85961013675961,2.86729969315822,0.699310087724866,"GUDB_09","GUDB (hand_bike)",1.99926666666667
706.98224852071,39.3495436793262,NA,NA,NA,NA,NA,NA,17.4301326388965,17.4728434042544,0.0556584606779891,0.024654271978352,704,29.652,0.0421193181818182,40,1.18343195266272,16.5680473372781,8.45,132.8125,NA,NA,0.0258517700238757,0.00243271387839091,0.00023316549074058,10.6267203280704,0.906518264096999,0.0853055539348705,-6.01874782242876,12.355166057759,53.8121117444953,0.22959823833754,2088.71167808478,4.35543411500339,4.02684860486851,937.500429169398,0.538461538461538,0.5,0.706666666666667,0.157894736842105,47.8723404255319,48.0245330079128,47.7117922844101,51.3333333333333,0.479623824451411,0.52037617554859,8.56115723332148,8.91745244359802,0.431221553057267,0.568778446942733,35.3370478880177,40.5836964428081,0.433647802876798,0.566352197123202,25.7099238292698,29.3816045770634,1.59259895700486,20.221154314811,11.3203975719436,8.33015723413565,0.898983829335584,1.18974486997196,1.36669889904829,1.78001224480208,1.10037540849834,1.03147870055675,0.78230331715419,1.35926568873197,4.9875208175313,0.809048390268429,0,1.0825974595848,1.75544281405306,1.22025075333651,1.75257682898519,1.94158873394019,0.744467162229569,"GUDB_10","GUDB (hand_bike)",1.99353333333333
